,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory,Australia
Age group (years),%,%,%,%,%,%,%,%,%
0–4,6.4,6.3,6.3,5.8,6.7,5.6,7.6,6.8,6.3
5–9,6.4,6.3,6.7,6.1,6.6,6.1,7.4,6.6,6.4
10–14,6.0,5.8,6.5,5.8,6.3,6.1,6.7,5.7,6.1
15–19,5.9,5.8,6.2,5.9,5.9,6.0,6.1,5.9,6.0
20–24,6.9,7.4,6.9,6.6,6.5,6.0,7.0,8.3,7.0
25–29,7.6,8.0,7.2,6.7,7.3,6.1,9.5,8.2,7.5
30–34,7.4,7.8,7.0,6.7,7.9,6.0,9.7,8.4,7.5
35–39,6.9,7.1,6.7,6.3,7.2,5.7,8.1,7.9,6.9
40–44,6.3,6.4,6.4,6.0,6.6,5.7,7.0,6.8,6.4
45–49,6.5,6.6,6.9,6.6,6.9,6.7,6.9,6.7,6.7
50–54,6.0,6.0,6.2,6.4,6.3,6.5,6.2,5.8,6.1
55–59,6.1,5.9,6.2,6.6,6.1,7.2,5.7,5.5,6.1
60–64,5.5,5.2,5.4,6.0,5.3,6.7,4.5,4.7,5.4
65–69,4.9,4.6,4.9,5.5,4.6,6.2,3.3,4.1,4.8
70–74,4.2,3.9,4.1,4.7,3.7,5.3,2.1,3.4,4.1
75–79,2.9,2.7,2.8,3.3,2.6,3.5,1.2,2.2,2.8
80–84,2.0,2.0,1.8,2.3,1.8,2.4,0.6,1.5,1.9
85 and over,2.2,2.1,1.8,2.6,1.7,2.3,0.4,1.5,2.0
All ages,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0