State/Territory,2006 no.,2007 no., 2008 no.,2009 no.,2010 no.,2011 no.,2012 no.,2013 no.,2014 no.,2015 no.,2016 no.,,2006-2016 %,2006-2016 no.,,Area (km2),persons/km2
New South Wales,6742690,6834156,6943461,7053755,7144292,7218529,7304244,7404032,7508353,7616168,7732858,,14.7,990168,,800810.8,9.7
Victoria,5061266,5153522,5256375,5371934,5461101,5537817,5651091,5772669,5894917,6022322,6173172,,22.0,1111906,,227495.6,27.1
Queensland,4007992,4111018,4219505,4328771,4404744,4476778,4568687,4652824,4719653,4777692,4845152,,20.9,837160,,1730172.1,2.8
South Australia,1552529,1570619,1588665,1608902,1627322,1639614,1656725,1671488,1686945,1700668,1712843,,10.3,160314,,984274.9,1.7
Western Australia,2050581,2106139,2171700,2240250,2290845,2353409,2425507,2486944,2517608,2540672,2555978,,24.6,505397,,2526646.2,1.0
Tasmania,489302,493262,498568,504353,508847,511483,511724,512231,513621,515117,517514,,5.8,28212,,68017.9,7.6
Northern Territory,209057,213748,219874,226027,229778,231292,235915,241722,242894,244692,245678,,17.5,36621,,1348094.3,0.2
Australian Capital Territory,335170,342644,348368,354785,361766,367985,376539,383257,388799,395813,403104,,20.3,67934,,2358.2,170.9
Other Territories,2379,2514,2683,2876,3055,3117,3033,2962,2896,2851,4608,,. .,. .,,256.3,18.0
TOTAL AUSTRALIA,20450966,20827622,21249199,21691653,22031750,22340024,22733465,23128129,23475686,23815995,24190907,,18.3,3739941,,7688126.3,3.1