Age (years),New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory,Australia
16,"90,026","70,980","61,843","19,751","30,024","6,246","3,073","4,385","286,382"
17,"92,750","73,303","63,276","20,451","30,734","6,377","3,053","4,644","294,627"
18,"97,101","78,505","63,415","21,246","31,148","6,458","2,955","5,217","306,088"
19,"101,513","83,605","63,630","22,004","32,110","6,515","2,906","6,032","318,362"
20,"103,260","86,917","64,758","22,258","31,960","6,179","3,097","6,566","325,039"
21,"104,617","90,577","66,114","22,509","32,578","6,195","3,189","6,764","332,584"
22,"108,021","95,374","68,522","23,247","33,446","6,296","3,294","6,928","345,156"
23,"115,729","102,561","71,942","23,965","34,747","6,611","3,769","7,278","366,643"
24,"118,246","103,540","72,634","23,442","34,953","6,497","3,936","7,316","370,615"
25,"118,306","101,751","72,991","23,249","36,043","6,371","4,184","6,957","369,906"
Total,"1,049,569","887,113","669,125","222,122","327,743","63,745","33,456","62,087","3,315,402"